STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080601 06:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080601 17:00,0.2, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080601 18:00,1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080612 15:00,2.4, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080612 16:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080613 12:00,0.2, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080613 13:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080621 13:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080621 14:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080621 22:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080701 01:00,0,g, 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080701 07:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080706 15:00,0.6, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080710 12:00,0.5, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080710 13:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080710 14:00,0.2, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080722 17:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080722 20:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080723 23:00,0.3, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080726 09:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080726 12:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080727 15:00,0.4, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080727 16:00,0.1, , 
